polygon_id,ref_type,ref_id,geometry_type,geometry_json
PG-ZN-00160,sector,SEC-00022,polygon,"[[692.0, 340.0], [692.0, 322.0], [700.0, 322.0], [700.0, 340.0], [692.0, 340.0]]"
PG-ZN-00161,sector,SEC-00022,polygon,"[[542.0, 409.0], [542.0, 392.0], [552.0, 392.0], [552.0, 409.0], [542.0, 409.0]]"
PG-ZN-00162,sector,SEC-00022,polygon,"[[272.0, 504.0], [272.0, 406.0], [545.0, 410.0], [545.0, 506.0], [272.0, 504.0]]"
PG-ZN-00164,sector,SEC-00022,polygon,"[[133.0, 57.0], [148.0, 57.0], [150.0, 15.0], [132.0, 26.0], [133.0, 57.0]]"
PG-ZN-00165,level,LVL-00022-001-002,polygon,"[[1.0, 130.0], [24.0, 130.0], [24.0, 114.0], [20.0, 114.0], [20.0, 35.0], [24.0, 35.0], [24.0, 2.0], [8.0, 2.0], [8.0, 26.0], [1.0, 26.0], [1.0, 130.0]]"
PG-ZN-00166,sector,SEC-00022,polygon,"[[60.0, 1059.0], [156.0, 1062.0], [295.0, 1068.0], [295.0, 980.0], [164.0, 977.0], [165.0, 409.0], [60.0, 410.0], [60.0, 1059.0]]"
PG-ZN-00167,sector,SEC-00022,polygon,"[[724.0, 668.0], [849.0, 667.0], [849.0, 626.0], [986.0, 627.0], [986.0, 571.0], [942.0, 573.0], [942.0, 535.0], [856.0, 537.0], [856.0, 498.0], [724.0, 496.0], [724.0, 668.0]]"
PG-ZN-00168,sector,SEC-00022,polygon,"[[878.0, 836.0], [878.0, 872.0], [882.0, 872.0], [882.0, 836.0], [878.0, 836.0]]"
PG-ZN-00169,sector,SEC-00022,polygon,"[[469.0, 390.0], [583.0, 390.0], [582.0, 232.0], [524.0, 231.0], [504.0, 247.0], [486.0, 280.0], [469.0, 318.0], [469.0, 390.0]]"
PG-ZN-00173,level,LVL-00022-001-002,polygon,"[[31.0, 127.0], [31.0, 74.0], [43.0, 74.0], [43.0, 111.0], [39.0, 111.0], [39.0, 127.0], [31.0, 127.0]]"
PG-ZN-00174,level,LVL-00022-001-010,polygon,"[[0.0, 150.0], [95.0, 150.0], [95.0, 0.0], [0.0, 0.0], [0.0, 150.0]]"
PG-ZN-00175,level,LVL-00022-001-010,polygon,"[[48.0, 112.0], [64.0, 112.0], [64.0, 83.0], [48.0, 83.0], [48.0, 112.0]]"
